,subject_id,accuracy,object,response,true_value,environment_coded
1808,97882,0,object252.jpg,0.6,0.8,raw/volstab
1817,97882,1,object293.jpg,0.2,0.2,raw/volstab
1820,97882,1,object201.jpg,0.2,0.2,raw/volstab
1868,97882,0,object205.jpg,0,,raw/volstab
1871,97882,0,object487.jpg,0.6,,raw/volstab
1925,18293,0,object546.jpg,1,,raw/volstab
1934,18293,0,object428.jpg,0.4,0.8,raw/volstab
1964,18293,1,object169.jpg,0.4,0.4,raw/volstab
1994,18293,0,object406.jpg,0.2,1.0,raw/volstab
2033,18293,0,object413.jpg,0.2,0.4,raw/volstab
2162,17739,0,object574.jpg,0.6,0.8,raw/volstab
2180,17739,1,object464.jpg,0.4,0.4,raw/volstab
2186,17739,0,object41.jpg,0.4,0.2,raw/volstab
2207,17739,0,object128.jpg,0.8,1.0,raw/volstab
2210,17739,0,object403.jpg,0.4,0.0,raw/volstab
2213,17739,0,object67.jpg,0.2,0.8,raw/volstab
2234,17739,0,object242.jpg,0.4,0.8,raw/volstab
2252,17739,0,object239.jpg,0.4,0.2,raw/volstab
2267,17739,0,object405.jpg,0.4,0.6,raw/volstab
2270,17739,1,object263.jpg,0,0.0,raw/volstab
2273,17739,0,object519.jpg,0.4,0.2,raw/volstab
2276,17739,0,object487.jpg,0.4,0.2,raw/volstab
2285,17739,1,object206.jpg,1,1.0,raw/volstab
2354,17739,0,object273.jpg,0.4,,raw/volstab
2360,17739,0,object572.jpg,0.2,0.6,raw/volstab
2387,17739,0,object74.jpg,0.6,,raw/volstab
2420,33409,0,object213.jpg,0.2,,raw/volstab
2423,33409,1,object243.jpg,0,0.0,raw/volstab
2438,33409,1,object659.jpg,0.2,0.2,raw/volstab
2441,33409,1,object568.jpg,0.8,0.8,raw/volstab
2450,33409,0,object205.jpg,0.4,,raw/volstab
2465,33409,0,object93.jpg,0.6,0.4,raw/volstab
2495,33409,0,object380.jpg,0.4,0.2,raw/volstab
2504,33409,1,object164.jpg,0.6,0.6,raw/volstab
2510,33409,0,object29.jpg,0.4,0.2,raw/volstab
2513,33409,0,object200.jpg,0.2,0.6,raw/volstab
2531,33409,1,object524.jpg,1,1.0,raw/volstab
2648,14808,0,object328.jpg,0.6,0.8,raw/volstab
2666,14808,0,object205.jpg,1,,raw/volstab
2672,14808,1,object29.jpg,0.6,0.6,raw/volstab
2678,14808,1,object294.jpg,0.4,0.4,raw/volstab
2684,14808,0,object598.jpg,0.6,0.0,raw/volstab
2702,14808,1,object91.jpg,1,1.0,raw/volstab
2708,14808,0,object360.jpg,0,0.6,raw/volstab
2723,14808,1,object37.jpg,1,1.0,raw/volstab
2756,14808,1,object552.jpg,0,0.0,raw/volstab
2762,14808,1,object449.jpg,1,1.0,raw/volstab
2882,25482,0,object472.jpg,0.8,0.4,raw/volstab
2888,25482,0,object483.jpg,0.6,0.8,raw/volstab
2903,25482,0,object91.jpg,0.2,0.8,raw/volstab
2909,25482,1,object447.jpg,0.6,0.6,raw/volstab
2918,25482,0,object505.jpg,0.6,0.4,raw/volstab
2924,25482,0,object145.jpg,0.4,0.6,raw/volstab
2927,25482,1,object458.jpg,0.2,0.2,raw/volstab
2930,25482,0,object128.jpg,0.2,1.0,raw/volstab
2933,25482,0,object207.jpg,0.8,0.4,raw/volstab
2945,25482,0,object205.jpg,0.8,0.0,raw/volstab
2969,25482,1,object653.jpg,0,0.0,raw/volstab
2972,25482,0,object161.jpg,0.4,1.0,raw/volstab
2987,25482,1,object596.jpg,0,0.0,raw/volstab
2999,25482,1,object646.jpg,0.2,0.2,raw/volstab
3008,25482,1,object229.jpg,1,1.0,raw/volstab
3026,25482,0,object621.jpg,0.2,,raw/volstab
3059,25482,0,object25.jpg,0.4,,raw/volstab
3125,71120,0,object314.jpg,0.6,0.0,raw/volstab
3134,71120,0,object580.jpg,0.6,0.2,raw/volstab
3392,98320,0,object407.jpg,0.4,0.0,raw/volstab
3398,98320,0,object620.jpg,1,0.8,raw/volstab
3410,98320,1,object438.jpg,0,0.0,raw/volstab
3425,98320,0,object153.jpg,1,0.6,raw/volstab
3428,98320,1,object264.jpg,0,0.0,raw/volstab
3431,98320,1,object343.jpg,0.8,0.8,raw/volstab
3437,98320,1,object616.jpg,0.8,0.8,raw/volstab
3443,98320,1,object247.jpg,1,1.0,raw/volstab
3449,98320,1,object152.jpg,0.6,0.6,raw/volstab
3455,98320,1,object652.jpg,0,0.0,raw/volstab
3458,98320,0,object357.jpg,0.4,,raw/volstab
3461,98320,1,object240.jpg,1,1.0,raw/volstab
3467,98320,1,object572.jpg,1,1.0,raw/volstab
3482,98320,0,object108.jpg,0.2,0.6,raw/volstab
3485,98320,0,object175.jpg,0.2,0.4,raw/volstab
3491,98320,1,object247.jpg,1,1.0,raw/volstab
3608,84232,1,object554.jpg,1,1.0,raw/volstab
3620,84232,0,object586.jpg,0.2,0.8,raw/volstab
3623,84232,0,object637.jpg,0.2,0.8,raw/volstab
3635,84232,0,object138.jpg,0.4,0.6,raw/volstab
3644,84232,1,object167.jpg,0,0.0,raw/volstab
3653,84232,1,object502.jpg,0.4,0.4,raw/volstab
3668,84232,0,object586.jpg,0.4,0.8,raw/volstab
3671,84232,1,object403.jpg,0.4,0.4,raw/volstab
3674,84232,1,object501.jpg,0.4,0.4,raw/volstab
3677,84232,0,object465.jpg,0.8,0.6,raw/volstab
3683,84232,0,object272.jpg,0.4,0.0,raw/volstab
3689,84232,1,object611.jpg,0.4,0.4,raw/volstab
3692,84232,1,object342.jpg,1,1.0,raw/volstab
3842,56144,0,object287.jpg,0.4,1.0,raw/volstab
3845,56144,0,object299.jpg,0.4,,raw/volstab
3854,56144,0,object170.jpg,0.4,0.6,raw/volstab
3857,56144,1,object579.jpg,0.6,0.6,raw/volstab
3866,56144,0,object114.jpg,0.2,0.4,raw/volstab
3872,56144,0,object80.jpg,0.4,0.8,raw/volstab
3881,56144,1,object169.jpg,1,1.0,raw/volstab
3893,56144,0,object533.jpg,0.4,0.2,raw/volstab
3896,56144,0,object469.jpg,0.2,0.8,raw/volstab
3905,56144,0,object178.jpg,0.6,,raw/volstab
3908,56144,0,object202.jpg,1,,raw/volstab
3914,56144,0,object234.jpg,0.4,0.2,raw/volstab
3923,56144,0,object433.jpg,0.4,0.0,raw/volstab
3938,56144,1,object124.jpg,0.2,0.2,raw/volstab
3956,56144,0,object315.jpg,0.6,0.8,raw/volstab
3974,56144,1,object205.jpg,0,0.0,raw/volstab
3989,56144,0,object158.jpg,0.6,0.4,raw/volstab
3995,56144,1,object577.jpg,0.4,0.4,raw/volstab
4025,56144,0,object101.jpg,0.6,,raw/volstab
4031,56144,0,object204.jpg,0.4,,raw/volstab
4064,56144,0,object522.jpg,0.2,,raw/volstab
4085,95311,0,object172.jpg,0.6,0.4,raw/volstab
4130,95311,0,object291.jpg,0.8,0.2,raw/volstab
4151,95311,1,object124.jpg,0.8,0.8,raw/volstab
4208,95311,0,object223.jpg,0.8,1.0,raw/volstab
4211,95311,0,object449.jpg,0.4,,raw/volstab
4361,77228,0,object130.jpg,0.2,,raw/volstab
4400,77228,0,object68.jpg,0.4,0.0,raw/volstab
4565,52540,0,object539.jpg,0.4,0.2,raw/volstab
4574,52540,0,object484.jpg,0.4,0.0,raw/volstab
4583,52540,0,object503.jpg,0.4,,raw/volstab
4586,52540,0,object510.jpg,0.2,,raw/volstab
4589,52540,0,object117.jpg,1,0.8,raw/volstab
4592,52540,0,object658.jpg,0.4,0.0,raw/volstab
4595,52540,0,object160.jpg,0.6,0.4,raw/volstab
4598,52540,0,object123.jpg,0.2,,raw/volstab
4604,52540,0,object238.jpg,0,0.8,raw/volstab
4607,52540,0,object92.jpg,0.2,,raw/volstab
4613,52540,0,object638.jpg,0.8,1.0,raw/volstab
4616,52540,0,object192.jpg,1,,raw/volstab
4619,52540,0,object75.jpg,0.2,1.0,raw/volstab
4628,52540,0,object31.jpg,0.4,,raw/volstab
4640,52540,0,object49.jpg,0.8,,raw/volstab
4643,52540,0,object45.jpg,0.4,,raw/volstab
4646,52540,0,object457.jpg,0.2,0.8,raw/volstab
4667,52540,0,object623.jpg,0.4,,raw/volstab
4670,52540,0,object108.jpg,0.6,,raw/volstab
4679,52540,0,object400.jpg,0.4,,raw/volstab
4691,52540,0,object519.jpg,0.4,,raw/volstab
4697,52540,0,object27.jpg,0.2,0.4,raw/volstab
4712,52540,0,object291.jpg,0.4,,raw/volstab
4718,52540,0,object507.jpg,0.2,,raw/volstab
4721,52540,0,object334.jpg,0.8,,raw/volstab
4724,52540,0,object293.jpg,0.4,,raw/volstab
4730,52540,0,object365.jpg,0.4,,raw/volstab
4739,52540,0,object317.jpg,0.4,,raw/volstab
4745,52540,0,object187.jpg,0.2,,raw/volstab
4751,52540,0,object95.jpg,0.8,,raw/volstab
4760,52540,0,object293.jpg,0.8,,raw/volstab
4763,52540,0,object428.jpg,0.6,,raw/volstab
4769,52540,0,object64.jpg,0,,raw/volstab
4772,52540,0,object208.jpg,0,,raw/volstab
4781,52540,0,object91.jpg,0.6,,raw/volstab
4784,52540,0,object64.jpg,0.6,,raw/volstab
4796,52540,0,object290.jpg,0.4,,raw/volstab
4814,48806,0,object289.jpg,0.4,0.0,raw/volstab
4820,48806,0,object283.jpg,0.2,,raw/volstab
4844,48806,0,object404.jpg,0.4,0.6,raw/volstab
4859,48806,0,object245.jpg,0.6,0.4,raw/volstab
4868,48806,0,object428.jpg,0.2,0.4,raw/volstab
4877,48806,0,object13.jpg,0.2,1.0,raw/volstab
4883,48806,0,object573.jpg,0.6,0.2,raw/volstab
4922,48806,1,object93.jpg,0.6,0.6,raw/volstab
4931,48806,0,object227.jpg,0.4,0.2,raw/volstab
4940,48806,1,object20.jpg,0.6,0.6,raw/volstab
4955,48806,1,object271.jpg,0,0.0,raw/volstab
4958,48806,0,object308.jpg,0.4,0.8,raw/volstab
4967,48806,0,object308.jpg,0.4,0.8,raw/volstab
4982,48806,0,object31.jpg,0.2,,raw/volstab
5003,48806,0,object195.jpg,0,,raw/volstab
5048,28620,1,object637.jpg,0.2,0.2,raw/volstab
5054,28620,1,object350.jpg,1,1.0,raw/volstab
5078,28620,0,object407.jpg,0.8,1.0,raw/volstab
5081,28620,1,object362.jpg,0.6,0.6,raw/volstab
5090,28620,1,object503.jpg,1,1.0,raw/volstab
5102,28620,0,object266.jpg,0.2,0.8,raw/volstab
5135,28620,1,object319.jpg,0.2,0.2,raw/volstab
5138,28620,1,object347.jpg,0,0.0,raw/volstab
5144,28620,0,object381.jpg,0.8,,raw/volstab
5156,28620,0,object112.jpg,0.6,0.8,raw/volstab
5165,28620,0,object454.jpg,0.2,0.4,raw/volstab
5171,28620,0,object186.jpg,0.8,0.6,raw/volstab
5174,28620,1,object199.jpg,0.8,0.8,raw/volstab
5180,28620,0,object234.jpg,0.4,0.0,raw/volstab
5192,28620,1,object81.jpg,0.4,0.4,raw/volstab
5204,28620,0,object508.jpg,0.2,,raw/volstab
5213,28620,1,object469.jpg,1,1.0,raw/volstab
5237,28620,0,object632.jpg,0.8,0.6,raw/volstab
5240,28620,0,object190.jpg,0.8,0.6,raw/volstab
5282,73862,0,object495.jpg,0.4,1.0,raw/volstab
5294,73862,0,object182.jpg,0.2,0.4,raw/volstab
5300,73862,1,object191.jpg,0.2,0.2,raw/volstab
5303,73862,1,object44.jpg,1,1.0,raw/volstab
5339,73862,0,object496.jpg,0.4,0.0,raw/volstab
5345,73862,0,object126.jpg,0.4,0.0,raw/volstab
5429,73862,1,object438.jpg,0.4,0.4,raw/volstab
5450,73862,0,object169.jpg,0.4,1.0,raw/volstab
5525,34420,0,object378.jpg,0.4,0.6,raw/volstab
5534,34420,0,object316.jpg,0.6,0.8,raw/volstab
5549,34420,0,object336.jpg,0.8,0.6,raw/volstab
5555,34420,0,object539.jpg,0.2,0.6,raw/volstab
5573,34420,1,object533.jpg,0.8,0.8,raw/volstab
5636,34420,0,object100.jpg,0.4,,raw/volstab
5648,34420,0,object260.jpg,1,0.4,raw/volstab
5654,34420,1,object607.jpg,0.2,0.2,raw/volstab
5657,34420,0,object615.jpg,0.6,0.2,raw/volstab
5660,34420,0,object141.jpg,0.6,,raw/volstab
5672,34420,0,object187.jpg,0.6,1.0,raw/volstab
5675,34420,0,object21.jpg,0.2,0.6,raw/volstab
5702,34420,0,object180.jpg,0.4,,raw/volstab
5747,34420,0,object212.jpg,0.2,,raw/volstab
5762,39135,1,object483.jpg,0,0.0,raw/volstab
5780,39135,1,object615.jpg,0.4,0.4,raw/volstab
5783,39135,0,object44.jpg,0.2,1.0,raw/volstab
5804,39135,1,object652.jpg,0,0.0,raw/volstab
5807,39135,1,object470.jpg,0,0.0,raw/volstab
5828,39135,0,object623.jpg,0.4,0.6,raw/volstab
5843,39135,1,object506.jpg,1,1.0,raw/volstab
5849,39135,1,object315.jpg,0,0.0,raw/volstab
5852,39135,0,object488.jpg,0.2,0.6,raw/volstab
5867,39135,1,object533.jpg,0.8,0.8,raw/volstab
5873,39135,0,object529.jpg,0.2,0.4,raw/volstab
5882,39135,0,object526.jpg,0.4,0.2,raw/volstab
5897,39135,1,object413.jpg,1,1.0,raw/volstab
5918,39135,1,object527.jpg,1,1.0,raw/volstab
5924,39135,0,object214.jpg,0.4,0.8,raw/volstab
6002,76178,1,object608.jpg,0.4,0.4,raw/volstab
6014,76178,0,object297.jpg,0.4,0.6,raw/volstab
6023,76178,0,object559.jpg,0.6,0.8,raw/volstab
6032,76178,0,object311.jpg,0.4,0.6,raw/volstab
6089,76178,0,object436.jpg,0.6,1.0,raw/volstab
6092,76178,0,object265.jpg,0.4,,raw/volstab
6128,76178,1,object67.jpg,0.4,0.4,raw/volstab
6140,76178,0,object283.jpg,0.4,0.8,raw/volstab
6143,76178,0,object270.jpg,0.2,,raw/volstab
6155,76178,0,object527.jpg,1,,raw/volstab
6242,47818,1,object208.jpg,0,0.0,raw/volstab
6296,47818,0,object655.jpg,1,0.4,raw/volstab
6314,47818,0,object440.jpg,0.6,0.8,raw/volstab
6341,47818,1,object598.jpg,0.6,0.6,raw/volstab
6353,47818,0,object355.jpg,0.2,0.0,raw/volstab
6356,47818,0,object360.jpg,0.4,0.2,raw/volstab
6461,47818,0,object264.jpg,0.8,,raw/volstab
6500,28204,0,object24.jpg,0.8,0.0,raw/volstab
6545,28204,0,object468.jpg,0.2,0.0,raw/volstab
6728,67554,0,object249.jpg,0.4,0.6,raw/volstab
6758,67554,0,object530.jpg,0.6,0.2,raw/volstab
6767,67554,0,object61.jpg,0.4,0.6,raw/volstab
6971,23744,0,object92.jpg,0.6,0.4,raw/volstab
6986,23744,0,object115.jpg,0.6,0.2,raw/volstab
7007,23744,0,object179.jpg,0.4,,raw/volstab
7016,23744,1,object187.jpg,0.6,0.6,raw/volstab
7019,23744,0,object195.jpg,0.4,0.8,raw/volstab
7028,23744,0,object239.jpg,0.4,0.0,raw/volstab
7031,23744,0,object355.jpg,0.4,0.6,raw/volstab
7034,23744,0,object655.jpg,0.4,0.8,raw/volstab
7475,21872,1,object14.jpg,0,0.0,raw/volstab
7496,21872,0,object283.jpg,0.8,0.4,raw/volstab
7505,21872,1,object67.jpg,0.4,0.4,raw/volstab
7508,21872,0,object157.jpg,0.2,0.6,raw/volstab
7511,21872,1,object117.jpg,0.6,0.6,raw/volstab
7517,21872,1,object499.jpg,0,0.0,raw/volstab
7577,21872,1,object453.jpg,1,1.0,raw/volstab
7619,21872,1,object280.jpg,0,0.0,raw/volstab
7637,21872,0,object522.jpg,1,0.8,raw/volstab
7640,21872,0,object123.jpg,0.8,1.0,raw/volstab
7694,38001,0,object428.jpg,0.4,0.0,raw/volstab
7709,38001,0,object182.jpg,0.6,,raw/volstab
7724,38001,1,object339.jpg,0.2,0.2,raw/volstab
7745,38001,0,object524.jpg,1,0.6,raw/volstab
7766,38001,0,object20.jpg,0.4,,raw/volstab
7790,38001,0,object438.jpg,0.4,,raw/volstab
7799,38001,0,object154.jpg,0.6,,raw/volstab
7805,38001,0,object173.jpg,0.4,0.0,raw/volstab
7823,38001,0,object407.jpg,0.6,0.8,raw/volstab
7868,38001,0,object485.jpg,0.2,0.8,raw/volstab
7886,38001,0,object63.jpg,0.2,,raw/volstab
7928,53996,0,object529.jpg,1,0.2,raw/volstab
7934,53996,0,object112.jpg,0.6,0.4,raw/volstab
7940,53996,0,object307.jpg,0.6,1.0,raw/volstab
7955,53996,1,object350.jpg,0.2,0.2,raw/volstab
7982,53996,0,object149.jpg,1,0.6,raw/volstab
7991,53996,1,object146.jpg,1,1.0,raw/volstab
7994,53996,1,object646.jpg,0,0.0,raw/volstab
7997,53996,0,object307.jpg,0.2,1.0,raw/volstab
8015,53996,0,object184.jpg,0.4,,raw/volstab
8018,53996,0,object591.jpg,0.6,0.0,raw/volstab
8021,53996,1,object253.jpg,0,0.0,raw/volstab
8027,53996,0,object491.jpg,0.6,0.8,raw/volstab
8030,53996,0,object228.jpg,0.2,0.6,raw/volstab
8039,53996,0,object338.jpg,0.4,0.8,raw/volstab
8042,53996,0,object414.jpg,0.2,0.6,raw/volstab
8084,53996,0,object599.jpg,0.2,0.4,raw/volstab
8090,53996,0,object557.jpg,1,,raw/volstab
8114,53996,1,object80.jpg,0,0.0,raw/volstab
8168,95199,0,object139.jpg,0.6,0.0,raw/volstab
8195,95199,0,object370.jpg,0.6,0.2,raw/volstab
8201,95199,1,object252.jpg,0,0.0,raw/volstab
8213,95199,0,object177.jpg,1,0.4,raw/volstab
8219,95199,0,object223.jpg,0.4,,raw/volstab
8222,95199,0,object487.jpg,0.6,0.2,raw/volstab
8225,95199,0,object632.jpg,0.6,0.4,raw/volstab
8246,95199,0,object444.jpg,1,0.6,raw/volstab
8264,95199,0,object410.jpg,0.2,1.0,raw/volstab
8267,95199,0,object645.jpg,0.4,,raw/volstab
8273,95199,0,object50.jpg,0.2,1.0,raw/volstab
8276,95199,0,object386.jpg,0,0.6,raw/volstab
8279,95199,1,object603.jpg,0.6,0.6,raw/volstab
8291,95199,0,object228.jpg,0.4,0.6,raw/volstab
8297,95199,0,object523.jpg,0.2,,raw/volstab
8300,95199,0,object340.jpg,0.2,1.0,raw/volstab
8306,95199,0,object374.jpg,0.2,1.0,raw/volstab
8315,95199,0,object651.jpg,0.6,,raw/volstab
8345,95199,0,object333.jpg,0.2,,raw/volstab
8354,95199,0,object129.jpg,0,,raw/volstab
8360,95199,0,object543.jpg,0.8,,raw/volstab
8366,95199,0,object152.jpg,0.4,,raw/volstab
8369,95199,0,object238.jpg,0.6,,raw/volstab
8372,95199,0,object299.jpg,0.2,,raw/volstab
8390,95199,0,object237.jpg,0.2,,raw/volstab
8393,95199,0,object518.jpg,0.4,,raw/volstab
8396,95199,0,object660.jpg,0.4,,raw/volstab
8408,37194,1,object364.jpg,0.8,0.8,raw/volstab
8417,37194,1,object322.jpg,0.6,0.6,raw/volstab
8429,37194,0,object346.jpg,0.4,0.6,raw/volstab
8432,37194,0,object164.jpg,0.4,0.6,raw/volstab
8435,37194,0,object100.jpg,0.2,0.8,raw/volstab
8438,37194,0,object44.jpg,0.6,0.2,raw/volstab
8444,37194,0,object309.jpg,0.6,0.2,raw/volstab
8453,37194,0,object157.jpg,0.6,0.4,raw/volstab
8456,37194,0,object229.jpg,0.4,1.0,raw/volstab
8468,37194,0,object167.jpg,0.2,0.8,raw/volstab
8477,37194,0,object617.jpg,0.2,0.4,raw/volstab
8483,37194,0,object269.jpg,0.2,0.4,raw/volstab
8486,37194,1,object508.jpg,0.2,0.2,raw/volstab
8501,37194,1,object505.jpg,1,1.0,raw/volstab
8531,37194,1,object88.jpg,1,1.0,raw/volstab
8537,37194,0,object376.jpg,0.4,0.2,raw/volstab
8642,66139,1,object284.jpg,0,0.0,raw/volstab
8678,66139,1,object348.jpg,1,1.0,raw/volstab
8684,66139,0,object514.jpg,0.8,0.6,raw/volstab
8690,66139,1,object79.jpg,0,0.0,raw/volstab
8693,66139,1,object178.jpg,0,0.0,raw/volstab
8696,66139,0,object282.jpg,0.8,1.0,raw/volstab
8726,66139,1,object165.jpg,0.4,0.4,raw/volstab
8729,66139,1,object420.jpg,0.4,0.4,raw/volstab
8732,66139,0,object402.jpg,1,0.8,raw/volstab
8741,66139,1,object240.jpg,1,1.0,raw/volstab
8750,66139,1,object283.jpg,0,0.0,raw/volstab
8753,66139,0,object129.jpg,0,1.0,raw/volstab
8771,66139,1,object533.jpg,0.8,0.8,raw/volstab
8852,66139,0,object426.jpg,1,,raw/volstab
8885,10395,0,object460.jpg,0.6,0.4,raw/volstab
8888,10395,0,object575.jpg,0.2,0.4,raw/volstab
8891,10395,0,object96.jpg,0.8,0.6,raw/volstab
8897,10395,1,object414.jpg,0.2,0.2,raw/volstab
8900,10395,1,object583.jpg,0.2,0.2,raw/volstab
8906,10395,0,object512.jpg,0.6,0.8,raw/volstab
8909,10395,0,object277.jpg,0.4,0.0,raw/volstab
8915,10395,1,object333.jpg,1,1.0,raw/volstab
8918,10395,1,object176.jpg,1,1.0,raw/volstab
8927,10395,1,object355.jpg,0.6,0.6,raw/volstab
8951,10395,0,object283.jpg,0.8,,raw/volstab
8969,10395,1,object646.jpg,0.8,0.8,raw/volstab
8978,10395,0,object246.jpg,0.8,1.0,raw/volstab
8984,10395,0,object107.jpg,0.6,0.8,raw/volstab
8990,10395,0,object413.jpg,0.6,,raw/volstab
9008,10395,1,object562.jpg,0.4,0.4,raw/volstab
9020,10395,0,object114.jpg,0.2,,raw/volstab
9032,10395,0,object327.jpg,0.4,,raw/volstab
9035,10395,0,object114.jpg,0.2,,raw/volstab
9056,10395,0,object114.jpg,0.2,,raw/volstab
9338,47895,0,object598.jpg,0.6,,raw/volstab
9368,33977,0,object650.jpg,0.6,0.2,raw/volstab
9371,33977,1,object448.jpg,1,1.0,raw/volstab
9395,33977,0,object539.jpg,0.6,0.2,raw/volstab
9398,33977,1,object445.jpg,0,0.0,raw/volstab
9407,33977,1,object434.jpg,1,1.0,raw/volstab
9428,33977,1,object178.jpg,0,0.0,raw/volstab
9464,33977,0,object612.jpg,0.4,0.8,raw/volstab
9470,33977,0,object620.jpg,0.6,,raw/volstab
9479,33977,0,object491.jpg,0.6,0.4,raw/volstab
9500,33977,0,object118.jpg,0.4,0.6,raw/volstab
9512,33977,0,object451.jpg,0,0.8,raw/volstab
9557,33977,0,object407.jpg,0.2,,raw/volstab
9563,33977,0,object289.jpg,0.6,,raw/volstab
9584,33977,0,object148.jpg,0.6,,raw/volstab
9632,78902,1,object364.jpg,0,0.0,raw/volstab
9644,78902,0,object456.jpg,0.8,0.6,raw/volstab
9647,78902,1,object223.jpg,0.4,0.4,raw/volstab
