,outcome,orange_chosen,lucky_chosen,subject_id,sub_factor,environment_coded,t_since_reversal,trial_number,outcome_coded,t_since_centered
29,0.2,2,0.0,70290,1,-1,11,30.0,-0.3,3.701552451216523
30,0.0,1,1.0,70290,1,-1,12,31.0,0.5,4.701552451216523
31,0.4,2,0.0,70290,1,-1,13,32.0,-0.0999999999999999,5.701552451216523
32,0.0,2,0.0,70290,1,-1,14,33.0,-0.5,6.701552451216523
33,0.2,2,0.0,70290,1,-1,15,34.0,-0.3,7.701552451216523
34,0.6,2,0.0,70290,1,-1,17,36.0,0.0999999999999999,9.701552451216523
35,0.4,2,0.0,70290,1,-1,18,37.0,-0.0999999999999999,10.701552451216523
36,0.8,2,0.0,70290,1,-1,19,38.0,0.3,11.701552451216523
37,0.0,2,0.0,70290,1,-1,20,39.0,-0.5,12.701552451216523
38,0.4,2,0.0,70290,1,-1,21,40.0,-0.0999999999999999,13.701552451216523
39,0.8,1,0.0,70290,1,-1,0,41.0,-0.3,-7.298447548783477
40,0.2,1,0.0,70290,1,-1,1,42.0,0.3,-6.298447548783477
41,0.6,1,0.0,70290,1,-1,2,43.0,-0.0999999999999999,-5.298447548783477
42,0.2,1,0.0,70290,1,-1,3,44.0,0.3,-4.298447548783477
43,0.6,1,0.0,70290,1,-1,4,45.0,-0.0999999999999999,-3.298447548783477
44,0.4,1,0.0,70290,1,-1,5,46.0,0.0999999999999999,-2.298447548783477
45,0.8,1,0.0,70290,1,-1,6,47.0,-0.3,-1.2984475487834768
46,0.2,1,0.0,70290,1,-1,7,48.0,0.3,-0.2984475487834768
47,0.0,1,0.0,70290,1,-1,8,49.0,0.5,0.7015524512165232
48,0.8,2,1.0,70290,1,-1,9,50.0,0.3,1.7015524512165232
49,0.2,2,1.0,70290,1,-1,10,51.0,-0.3,2.701552451216523
50,0.6,2,1.0,70290,1,-1,11,52.0,0.0999999999999999,3.701552451216523
51,0.8,2,1.0,70290,1,-1,12,53.0,0.3,4.701552451216523
52,1.0,2,1.0,70290,1,-1,13,54.0,0.5,5.701552451216523
53,1.0,2,1.0,70290,1,-1,14,55.0,0.5,6.701552451216523
54,0.6,2,0.0,70290,1,-1,1,57.0,0.0999999999999999,-6.298447548783477
55,0.6,2,0.0,70290,1,-1,2,58.0,0.0999999999999999,-5.298447548783477
56,0.4,2,0.0,70290,1,-1,3,59.0,-0.0999999999999999,-4.298447548783477
57,0.4,2,0.0,70290,1,-1,4,60.0,-0.0999999999999999,-3.298447548783477
58,0.0,2,0.0,70290,1,-1,5,61.0,-0.5,-2.298447548783477
59,0.2,2,0.0,70290,1,-1,6,62.0,-0.3,-1.2984475487834768
60,0.0,2,0.0,70290,1,-1,7,63.0,-0.5,-0.2984475487834768
61,0.8,1,1.0,70290,1,-1,8,64.0,-0.3,0.7015524512165232
62,0.6,1,1.0,70290,1,-1,9,65.0,-0.0999999999999999,1.7015524512165232
63,1.0,1,1.0,70290,1,-1,10,66.0,-0.5,2.701552451216523
64,0.2,1,1.0,70290,1,-1,11,67.0,0.3,3.701552451216523
65,0.0,1,1.0,70290,1,-1,12,68.0,0.5,4.701552451216523
66,0.8,1,1.0,70290,1,-1,13,69.0,-0.3,5.701552451216523
67,0.6,1,1.0,70290,1,-1,14,70.0,-0.0999999999999999,6.701552451216523
68,0.0,1,1.0,70290,1,-1,15,71.0,0.5,7.701552451216523
69,0.2,1,1.0,70290,1,-1,16,72.0,0.3,8.701552451216523
70,0.8,1,1.0,70290,1,-1,17,73.0,-0.3,9.701552451216523
71,1.0,1,1.0,70290,1,-1,18,74.0,-0.5,10.701552451216523
72,0.6,1,1.0,70290,1,-1,19,75.0,-0.0999999999999999,11.701552451216523
73,0.8,1,1.0,70290,1,-1,20,76.0,-0.3,12.701552451216523
74,0.2,1,1.0,70290,1,-1,21,77.0,0.3,13.701552451216523
75,1.0,1,1.0,70290,1,-1,22,78.0,-0.5,14.701552451216523
76,1.0,1,1.0,70290,1,-1,23,79.0,-0.5,15.701552451216523
77,0.8,1,0.0,70290,1,-1,0,80.0,-0.3,-7.298447548783477
78,0.2,1,0.0,70290,1,-1,1,81.0,0.3,-6.298447548783477
79,0.0,1,0.0,70290,1,-1,2,82.0,0.5,-5.298447548783477
80,0.6,1,0.0,70290,1,-1,3,83.0,-0.0999999999999999,-4.298447548783477
81,0.2,1,0.0,70290,1,-1,4,84.0,0.3,-3.298447548783477
82,0.4,1,0.0,70290,1,-1,5,85.0,0.0999999999999999,-2.298447548783477
83,0.0,1,0.0,70290,1,-1,6,86.0,0.5,-1.2984475487834768
84,0.4,2,1.0,70290,1,-1,7,87.0,-0.0999999999999999,-0.2984475487834768
85,0.4,2,1.0,70290,1,-1,8,88.0,-0.0999999999999999,0.7015524512165232
86,0.8,2,1.0,70290,1,-1,9,89.0,0.3,1.7015524512165232
87,0.8,2,1.0,70290,1,-1,10,90.0,0.3,2.701552451216523
88,0.2,2,1.0,70290,1,-1,11,91.0,-0.3,3.701552451216523
89,0.8,2,1.0,70290,1,-1,12,92.0,0.3,4.701552451216523
90,1.0,2,1.0,70290,1,-1,13,93.0,0.5,5.701552451216523
91,0.0,2,1.0,70290,1,-1,14,94.0,-0.5,6.701552451216523
92,0.8,2,1.0,70290,1,-1,15,95.0,0.3,7.701552451216523
93,1.0,2,1.0,70290,1,-1,16,96.0,0.5,8.701552451216523
94,0.6,2,1.0,70290,1,-1,17,97.0,0.0999999999999999,9.701552451216523
95,0.4,2,1.0,70290,1,-1,18,98.0,-0.0999999999999999,10.701552451216523
96,1.0,2,1.0,70290,1,-1,19,99.0,0.5,11.701552451216523
97,0.6,2,1.0,70290,1,-1,20,100.0,0.0999999999999999,12.701552451216523
98,0.2,2,0.0,70290,1,-1,0,101.0,-0.3,-7.298447548783477
99,0.2,2,0.0,70290,1,-1,1,102.0,-0.3,-6.298447548783477
100,0.2,2,0.0,70290,1,-1,2,103.0,-0.3,-5.298447548783477
101,0.2,2,0.0,70290,1,-1,3,104.0,-0.3,-4.298447548783477
102,0.0,2,0.0,70290,1,-1,4,105.0,-0.5,-3.298447548783477
103,1.0,1,1.0,70290,1,-1,5,106.0,-0.5,-2.298447548783477
104,0.4,1,1.0,70290,1,-1,6,107.0,0.0999999999999999,-1.2984475487834768
105,1.0,1,1.0,70290,1,-1,7,108.0,-0.5,-0.2984475487834768
106,0.8,1,1.0,70290,1,-1,8,109.0,-0.3,0.7015524512165232
107,0.4,1,1.0,70290,1,-1,9,110.0,0.0999999999999999,1.7015524512165232
108,1.0,1,1.0,70290,1,-1,10,111.0,-0.5,2.701552451216523
109,0.6,1,1.0,70290,1,-1,11,112.0,-0.0999999999999999,3.701552451216523
110,0.6,1,1.0,70290,1,-1,12,113.0,-0.0999999999999999,4.701552451216523
111,1.0,1,1.0,70290,1,-1,13,114.0,-0.5,5.701552451216523
112,0.4,1,1.0,70290,1,-1,14,115.0,0.0999999999999999,6.701552451216523
113,1.0,1,1.0,70290,1,-1,15,116.0,-0.5,7.701552451216523
114,0.0,1,1.0,70290,1,-1,16,117.0,0.5,8.701552451216523
115,0.6,1,0.0,70290,1,-1,1,119.0,-0.0999999999999999,-6.298447548783477
116,0.0,1,0.0,70290,1,-1,2,120.0,0.5,-5.298447548783477
117,0.2,1,0.0,70290,1,-1,3,121.0,0.3,-4.298447548783477
118,0.6,1,0.0,70290,1,-1,4,122.0,-0.0999999999999999,-3.298447548783477
119,0.8,1,0.0,70290,1,-1,5,123.0,-0.3,-2.298447548783477
120,0.6,1,0.0,70290,1,-1,6,124.0,-0.0999999999999999,-1.2984475487834768
121,0.4,1,0.0,70290,1,-1,7,125.0,0.0999999999999999,-0.2984475487834768
122,0.0,1,0.0,70290,1,-1,8,126.0,0.5,0.7015524512165232
123,0.4,1,0.0,70290,1,-1,9,127.0,0.0999999999999999,1.7015524512165232
124,0.4,1,0.0,70290,1,-1,10,128.0,0.0999999999999999,2.701552451216523
125,0.2,1,0.0,70290,1,-1,11,129.0,0.3,3.701552451216523
126,0.0,1,0.0,70290,1,-1,12,130.0,0.5,4.701552451216523
127,0.4,1,0.0,70290,1,-1,13,131.0,0.0999999999999999,5.701552451216523
128,0.0,1,0.0,70290,1,-1,14,132.0,0.5,6.701552451216523
129,1.0,1,0.0,70290,1,-1,15,133.0,-0.5,7.701552451216523
130,1.0,1,0.0,70290,1,-1,16,134.0,-0.5,8.701552451216523
131,0.0,1,0.0,70290,1,-1,17,135.0,0.5,9.701552451216523
132,0.2,1,0.0,70290,1,-1,18,136.0,0.3,10.701552451216523
133,0.8,1,0.0,70290,1,-1,19,137.0,-0.3,11.701552451216523
134,1.0,1,1.0,70290,1,-1,0,138.0,-0.5,-7.298447548783477
135,0.6,1,1.0,70290,1,-1,1,139.0,-0.0999999999999999,-6.298447548783477
136,0.2,1,1.0,70290,1,-1,2,140.0,0.3,-5.298447548783477
137,0.4,1,1.0,70290,1,-1,3,141.0,0.0999999999999999,-4.298447548783477
138,0.6,1,1.0,70290,1,-1,4,142.0,-0.0999999999999999,-3.298447548783477
139,0.8,1,1.0,70290,1,-1,5,143.0,-0.3,-2.298447548783477
140,0.2,1,1.0,70290,1,-1,6,144.0,0.3,-1.2984475487834768
141,1.0,1,1.0,70290,1,-1,7,145.0,-0.5,-0.2984475487834768
142,0.8,1,1.0,70290,1,-1,8,146.0,-0.3,0.7015524512165232
143,0.8,1,1.0,70290,1,-1,9,147.0,-0.3,1.7015524512165232
144,1.0,1,1.0,70290,1,-1,10,148.0,-0.5,2.701552451216523
145,1.0,1,1.0,70290,1,-1,11,149.0,-0.5,3.701552451216523
146,0.0,1,1.0,70290,1,-1,12,150.0,0.5,4.701552451216523
147,0.6,1,1.0,70290,1,-1,13,151.0,-0.0999999999999999,5.701552451216523
148,0.0,1,1.0,70290,1,-1,14,152.0,0.5,6.701552451216523
149,0.4,1,1.0,70290,1,-1,15,153.0,0.0999999999999999,7.701552451216523
150,0.2,1,1.0,70290,1,-1,16,154.0,0.3,8.701552451216523
151,0.4,1,1.0,70290,1,-1,17,155.0,0.0999999999999999,9.701552451216523
152,0.6,1,1.0,70290,1,-1,18,156.0,-0.0999999999999999,10.701552451216523
153,0.8,1,1.0,70290,1,-1,19,157.0,-0.3,11.701552451216523
154,0.4,1,1.0,70290,1,-1,20,158.0,0.0999999999999999,12.701552451216523
155,1.0,1,1.0,70290,1,-1,21,159.0,-0.5,13.701552451216523
156,0.6,1,1.0,70290,1,-1,22,160.0,-0.0999999999999999,14.701552451216523
157,0.6,1,0.0,70290,1,1,0,161.0,-0.0999999999999999,-7.298447548783477
158,0.8,1,0.0,70290,1,1,1,162.0,-0.3,-6.298447548783477
159,0.6,1,0.0,70290,1,1,2,163.0,-0.0999999999999999,-5.298447548783477
160,0.2,1,0.0,70290,1,1,3,164.0,0.3,-4.298447548783477
161,0.6,2,1.0,70290,1,1,4,165.0,0.0999999999999999,-3.298447548783477
162,1.0,2,1.0,70290,1,1,5,166.0,0.5,-2.298447548783477
163,0.4,2,1.0,70290,1,1,6,167.0,-0.0999999999999999,-1.2984475487834768
164,1.0,2,1.0,70290,1,1,7,168.0,0.5,-0.2984475487834768
165,0.0,2,1.0,70290,1,1,8,169.0,-0.5,0.7015524512165232
166,1.0,2,1.0,70290,1,1,9,170.0,0.5,1.7015524512165232
167,0.4,2,0.0,70290,1,1,0,171.0,-0.0999999999999999,-7.298447548783477
168,0.4,2,0.0,70290,1,1,1,172.0,-0.0999999999999999,-6.298447548783477
169,0.6,2,0.0,70290,1,1,2,173.0,0.0999999999999999,-5.298447548783477
170,0.2,2,0.0,70290,1,1,3,174.0,-0.3,-4.298447548783477
171,0.6,2,0.0,70290,1,1,4,175.0,0.0999999999999999,-3.298447548783477
172,0.6,2,0.0,70290,1,1,5,176.0,0.0999999999999999,-2.298447548783477
173,0.2,2,0.0,70290,1,1,6,177.0,-0.3,-1.2984475487834768
174,1.0,2,0.0,70290,1,1,7,178.0,0.5,-0.2984475487834768
175,0.4,2,0.0,70290,1,1,8,179.0,-0.0999999999999999,0.7015524512165232
176,0.2,2,0.0,70290,1,1,9,180.0,-0.3,1.7015524512165232
177,0.8,2,0.0,70290,1,1,10,181.0,0.3,2.701552451216523
178,0.4,2,0.0,70290,1,1,11,182.0,-0.0999999999999999,3.701552451216523
179,0.0,2,0.0,70290,1,1,12,183.0,-0.5,4.701552451216523
180,1.0,2,1.0,70290,1,1,0,184.0,0.5,-7.298447548783477
181,1.0,2,1.0,70290,1,1,1,185.0,0.5,-6.298447548783477
182,1.0,2,1.0,70290,1,1,3,187.0,0.5,-4.298447548783477
183,0.4,2,1.0,70290,1,1,4,188.0,-0.0999999999999999,-3.298447548783477
184,0.6,2,1.0,70290,1,1,5,189.0,0.0999999999999999,-2.298447548783477
185,0.4,2,0.0,70290,1,1,0,190.0,-0.0999999999999999,-7.298447548783477
186,0.2,2,0.0,70290,1,1,1,191.0,-0.3,-6.298447548783477
187,0.8,2,0.0,70290,1,1,2,192.0,0.3,-5.298447548783477
188,0.0,2,0.0,70290,1,1,3,193.0,-0.5,-4.298447548783477
189,0.4,2,0.0,70290,1,1,4,194.0,-0.0999999999999999,-3.298447548783477
190,0.6,2,0.0,70290,1,1,5,195.0,0.0999999999999999,-2.298447548783477
191,0.6,2,0.0,70290,1,1,6,196.0,0.0999999999999999,-1.2984475487834768
192,0.2,2,0.0,70290,1,1,7,197.0,-0.3,-0.2984475487834768
193,0.0,1,1.0,70290,1,1,8,198.0,0.5,0.7015524512165232
194,0.2,1,1.0,70290,1,1,9,199.0,0.3,1.7015524512165232
195,0.0,1,1.0,70290,1,1,10,200.0,0.5,2.701552451216523
196,0.8,2,1.0,70290,1,1,0,201.0,0.3,-7.298447548783477
197,0.6,2,1.0,70290,1,1,1,202.0,0.0999999999999999,-6.298447548783477
198,0.4,1,0.0,70290,1,1,2,203.0,0.0999999999999999,-5.298447548783477
199,0.6,2,1.0,70290,1,1,3,204.0,0.0999999999999999,-4.298447548783477
200,0.8,2,1.0,70290,1,1,4,205.0,0.3,-3.298447548783477
201,0.2,2,1.0,70290,1,1,5,206.0,-0.3,-2.298447548783477
202,0.8,2,1.0,70290,1,1,6,207.0,0.3,-1.2984475487834768
203,0.4,2,0.0,70290,1,1,0,208.0,-0.0999999999999999,-7.298447548783477
204,0.0,2,0.0,70290,1,1,1,209.0,-0.5,-6.298447548783477
205,0.2,2,0.0,70290,1,1,2,210.0,-0.3,-5.298447548783477
206,0.0,2,0.0,70290,1,1,3,211.0,-0.5,-4.298447548783477
207,0.4,2,0.0,70290,1,1,4,212.0,-0.0999999999999999,-3.298447548783477
208,0.6,2,0.0,70290,1,1,5,213.0,0.0999999999999999,-2.298447548783477
209,1.0,2,0.0,70290,1,1,6,214.0,0.5,-1.2984475487834768
210,0.0,2,0.0,70290,1,1,7,215.0,-0.5,-0.2984475487834768
211,0.2,2,0.0,70290,1,1,8,216.0,-0.3,0.7015524512165232
212,1.0,1,1.0,70290,1,1,9,217.0,-0.5,1.7015524512165232
213,1.0,1,1.0,70290,1,1,10,218.0,-0.5,2.701552451216523
214,0.8,1,1.0,70290,1,1,11,219.0,-0.3,3.701552451216523
215,0.2,1,0.0,70290,1,1,0,220.0,0.3,-7.298447548783477
216,0.0,1,0.0,70290,1,1,1,221.0,0.5,-6.298447548783477
217,0.8,1,0.0,70290,1,1,2,222.0,-0.3,-5.298447548783477
218,1.0,1,0.0,70290,1,1,3,223.0,-0.5,-4.298447548783477
219,0.8,1,0.0,70290,1,1,4,224.0,-0.3,-3.298447548783477
220,0.4,1,0.0,70290,1,1,5,225.0,0.0999999999999999,-2.298447548783477
221,0.6,1,0.0,70290,1,1,6,226.0,-0.0999999999999999,-1.2984475487834768
222,0.0,1,0.0,70290,1,1,7,227.0,0.5,-0.2984475487834768
223,0.2,1,0.0,70290,1,1,8,228.0,0.3,0.7015524512165232
224,0.2,1,0.0,70290,1,1,9,229.0,0.3,1.7015524512165232
225,0.2,1,0.0,70290,1,1,10,230.0,0.3,2.701552451216523
226,0.0,1,0.0,70290,1,1,11,231.0,0.5,3.701552451216523
227,0.8,2,1.0,70290,1,1,12,232.0,0.3,4.701552451216523
228,0.8,2,1.0,70290,1,1,13,233.0,0.3,5.701552451216523
229,0.0,2,0.0,70290,1,1,0,234.0,-0.5,-7.298447548783477
230,0.4,2,0.0,70290,1,1,1,235.0,-0.0999999999999999,-6.298447548783477
231,0.2,2,0.0,70290,1,1,2,236.0,-0.3,-5.298447548783477
232,0.6,2,0.0,70290,1,1,3,237.0,0.0999999999999999,-4.298447548783477
233,0.2,2,0.0,70290,1,1,4,238.0,-0.3,-3.298447548783477
234,0.2,2,0.0,70290,1,1,5,239.0,-0.3,-2.298447548783477
235,0.6,2,0.0,70290,1,1,6,240.0,0.0999999999999999,-1.2984475487834768
236,0.0,2,0.0,70290,1,1,7,241.0,-0.5,-0.2984475487834768
237,0.6,1,0.0,70290,1,1,0,242.0,-0.0999999999999999,-7.298447548783477
238,0.6,1,0.0,70290,1,1,1,243.0,-0.0999999999999999,-6.298447548783477
239,0.2,1,0.0,70290,1,1,2,244.0,0.3,-5.298447548783477
240,0.0,1,0.0,70290,1,1,3,245.0,0.5,-4.298447548783477
241,0.4,2,1.0,70290,1,1,4,246.0,-0.0999999999999999,-3.298447548783477
242,0.8,2,1.0,70290,1,1,5,247.0,0.3,-2.298447548783477
243,1.0,2,1.0,70290,1,1,6,248.0,0.5,-1.2984475487834768
244,0.8,2,1.0,70290,1,1,7,249.0,0.3,-0.2984475487834768
245,0.8,2,1.0,70290,1,1,8,250.0,0.3,0.7015524512165232
246,1.0,2,1.0,70290,1,1,9,251.0,0.5,1.7015524512165232
247,0.6,2,1.0,70290,1,1,10,252.0,0.0999999999999999,2.701552451216523
248,0.4,2,1.0,70290,1,1,11,253.0,-0.0999999999999999,3.701552451216523
249,1.0,2,1.0,70290,1,1,12,254.0,0.5,4.701552451216523
250,0.2,2,1.0,70290,1,1,13,255.0,-0.3,5.701552451216523
251,0.8,2,0.0,70290,1,1,0,256.0,0.3,-7.298447548783477
252,0.0,2,0.0,70290,1,1,1,257.0,-0.5,-6.298447548783477
253,0.2,2,0.0,70290,1,1,2,258.0,-0.3,-5.298447548783477
254,0.2,2,0.0,70290,1,1,3,259.0,-0.3,-4.298447548783477
255,0.8,1,1.0,70290,1,1,4,260.0,-0.3,-3.298447548783477
256,0.6,1,1.0,70290,1,1,5,261.0,-0.0999999999999999,-2.298447548783477
257,0.6,1,1.0,70290,1,1,6,262.0,-0.0999999999999999,-1.2984475487834768
258,0.8,1,1.0,70290,1,1,7,263.0,-0.3,-0.2984475487834768
259,0.0,1,1.0,70290,1,1,8,264.0,0.5,0.7015524512165232
260,1.0,1,1.0,70290,1,1,9,265.0,-0.5,1.7015524512165232
261,1.0,1,1.0,70290,1,1,10,266.0,-0.5,2.701552451216523
262,0.6,1,1.0,70290,1,1,11,267.0,-0.0999999999999999,3.701552451216523
263,0.0,1,0.0,70290,1,1,0,268.0,0.5,-7.298447548783477
264,0.8,1,0.0,70290,1,1,1,269.0,-0.3,-6.298447548783477
265,0.0,1,0.0,70290,1,1,2,270.0,0.5,-5.298447548783477
266,0.6,2,1.0,70290,1,1,3,271.0,0.0999999999999999,-4.298447548783477
267,0.0,2,1.0,70290,1,1,4,272.0,-0.5,-3.298447548783477
268,0.2,2,1.0,70290,1,1,5,273.0,-0.3,-2.298447548783477
269,1.0,1,1.0,70290,1,1,0,274.0,-0.5,-7.298447548783477
270,0.0,1,1.0,70290,1,1,1,275.0,0.5,-6.298447548783477
271,1.0,1,1.0,70290,1,1,2,276.0,-0.5,-5.298447548783477
272,0.6,1,1.0,70290,1,1,3,277.0,-0.0999999999999999,-4.298447548783477
273,0.8,1,1.0,70290,1,1,4,278.0,-0.3,-3.298447548783477
274,0.4,1,1.0,70290,1,1,5,279.0,0.0999999999999999,-2.298447548783477
275,0.8,1,1.0,70290,1,1,6,280.0,-0.3,-1.2984475487834768
276,0.2,1,1.0,70290,1,1,7,281.0,0.3,-0.2984475487834768
277,0.8,1,1.0,70290,1,1,8,282.0,-0.3,0.7015524512165232
278,0.4,1,1.0,70290,1,1,9,283.0,0.0999999999999999,1.7015524512165232
279,0.2,1,0.0,70290,1,1,0,284.0,0.3,-7.298447548783477
280,1.0,2,1.0,70290,1,1,1,285.0,0.5,-6.298447548783477
281,1.0,2,1.0,70290,1,1,2,286.0,0.5,-5.298447548783477
282,1.0,2,1.0,70290,1,1,3,287.0,0.5,-4.298447548783477
283,0.8,2,1.0,70290,1,1,4,288.0,0.3,-3.298447548783477
284,0.8,2,1.0,70290,1,1,5,289.0,0.3,-2.298447548783477
285,0.2,2,1.0,70290,1,1,6,290.0,-0.3,-1.2984475487834768
286,1.0,2,1.0,70290,1,1,7,291.0,0.5,-0.2984475487834768
287,1.0,2,0.0,70290,1,1,0,292.0,0.5,-7.298447548783477
288,0.6,1,1.0,70290,1,1,1,293.0,-0.0999999999999999,-6.298447548783477
289,0.4,2,0.0,70290,1,1,2,294.0,-0.0999999999999999,-5.298447548783477
290,0.2,2,0.0,70290,1,1,3,295.0,-0.3,-4.298447548783477
291,0.0,2,0.0,70290,1,1,5,297.0,-0.5,-2.298447548783477
292,0.4,1,1.0,70290,1,1,6,298.0,0.0999999999999999,-1.2984475487834768
293,0.4,1,0.0,70290,1,1,0,299.0,0.0999999999999999,-7.298447548783477
294,1.0,1,0.0,70290,1,1,1,300.0,-0.5,-6.298447548783477
295,0.6,1,0.0,70290,1,1,2,301.0,-0.0999999999999999,-5.298447548783477
296,0.2,1,0.0,70290,1,1,3,302.0,0.3,-4.298447548783477
297,0.0,1,0.0,70290,1,1,4,303.0,0.5,-3.298447548783477
298,0.0,1,0.0,70290,1,1,5,304.0,0.5,-2.298447548783477
299,0.6,1,0.0,70290,1,1,6,305.0,-0.0999999999999999,-1.2984475487834768
300,0.4,1,0.0,70290,1,1,7,306.0,0.0999999999999999,-0.2984475487834768
301,0.4,1,0.0,70290,1,1,8,307.0,0.0999999999999999,0.7015524512165232
302,1.0,1,1.0,70290,1,1,0,308.0,-0.5,-7.298447548783477
303,0.4,1,1.0,70290,1,1,1,309.0,0.0999999999999999,-6.298447548783477
304,0.6,1,1.0,70290,1,1,2,310.0,-0.0999999999999999,-5.298447548783477
305,1.0,1,1.0,70290,1,1,3,311.0,-0.5,-4.298447548783477
306,0.2,1,1.0,70290,1,1,4,312.0,0.3,-3.298447548783477
307,0.6,1,1.0,70290,1,1,5,313.0,-0.0999999999999999,-2.298447548783477
308,0.0,1,1.0,70290,1,1,6,314.0,0.5,-1.2984475487834768
309,1.0,1,1.0,70290,1,1,7,315.0,-0.5,-0.2984475487834768
310,0.8,1,1.0,70290,1,1,8,316.0,-0.3,0.7015524512165232
311,0.8,1,1.0,70290,1,1,9,317.0,-0.3,1.7015524512165232
312,0.2,1,1.0,70290,1,1,10,318.0,0.3,2.701552451216523
313,0.6,2,0.0,70290,1,1,11,319.0,0.0999999999999999,3.701552451216523
314,0.4,2,0.0,70290,1,1,12,320.0,-0.0999999999999999,4.701552451216523
315,1.0,2,1.0,17234,2,-1,0,1.0,0.5,-7.298447548783477
316,1.0,2,1.0,17234,2,-1,1,2.0,0.5,-6.298447548783477
317,1.0,2,1.0,17234,2,-1,2,3.0,0.5,-5.298447548783477
318,0.2,2,1.0,17234,2,-1,3,4.0,-0.3,-4.298447548783477
319,1.0,2,1.0,17234,2,-1,4,5.0,0.5,-3.298447548783477
320,0.0,2,1.0,17234,2,-1,5,6.0,-0.5,-2.298447548783477
321,0.4,2,1.0,17234,2,-1,6,7.0,-0.0999999999999999,-1.2984475487834768
322,0.6,2,1.0,17234,2,-1,7,8.0,0.0999999999999999,-0.2984475487834768
323,0.8,2,1.0,17234,2,-1,8,9.0,0.3,0.7015524512165232
324,0.8,2,1.0,17234,2,-1,9,10.0,0.3,1.7015524512165232
325,0.8,2,1.0,17234,2,-1,10,11.0,0.3,2.701552451216523
326,0.4,2,1.0,17234,2,-1,11,12.0,-0.0999999999999999,3.701552451216523
327,0.4,1,0.0,17234,2,-1,12,13.0,0.0999999999999999,4.701552451216523
328,1.0,2,1.0,17234,2,-1,13,14.0,0.5,5.701552451216523
329,1.0,2,1.0,17234,2,-1,14,15.0,0.5,6.701552451216523
330,0.8,2,1.0,17234,2,-1,15,16.0,0.3,7.701552451216523
331,0.4,2,1.0,17234,2,-1,16,17.0,-0.0999999999999999,8.701552451216523
332,0.6,2,1.0,17234,2,-1,17,18.0,0.0999999999999999,9.701552451216523
333,0.4,2,1.0,17234,2,-1,18,19.0,-0.0999999999999999,10.701552451216523
334,0.6,2,1.0,17234,2,-1,19,20.0,0.0999999999999999,11.701552451216523
335,0.6,2,1.0,17234,2,-1,20,21.0,0.0999999999999999,12.701552451216523
336,0.2,2,0.0,17234,2,-1,0,22.0,-0.3,-7.298447548783477
337,0.8,1,1.0,17234,2,-1,1,23.0,-0.3,-6.298447548783477
338,0.6,1,1.0,17234,2,-1,2,24.0,-0.0999999999999999,-5.298447548783477
339,0.8,1,1.0,17234,2,-1,3,25.0,-0.3,-4.298447548783477
340,0.2,1,1.0,17234,2,-1,4,26.0,0.3,-3.298447548783477
341,0.4,1,1.0,17234,2,-1,5,27.0,0.0999999999999999,-2.298447548783477
